svc	pid	ofs	len	bit_ofs	bit_len	bit_mask	formula	digits	min	max	mnemonic	label	description	formula_remark	options	remark2
0xE7,0xF4	0x01	0	2	0	16	0xFFFF	1	%.0f			engine_speed	Engine speed	Drehzahl			
0xE7,0xF4	0x02	0	2	0	16	0xFFFF	2	%.0f			load	Load	Last			
0xE7,0xF4	0x03	0	2	0	16	0xFFFF	3	%.0f			throttle_position	Throttle plate angle	Drosselklappenwinkel			
0xE7,0xF4	0x04	0	2	0	16	0xFFFF	4	%.1f			ignition_timing_advance_cyl1	Ignition angle	Zündwinkel			
0xE7,0xF4	0x05	0	2	0	16	0xFFFF	5	%.1f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x06	0	2	0	16	0xFFFF	6	%.1f			voltage	Voltage	Spannung			
0xE7,0xF4	0x07	0	2	0	16	0xFFFF	7	%.0f			speed	Speed	Geschwindigkeit			
0xE7,0xF4	0x08	0	2	0	16	0xFFFF	8	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x09	0	2	0	16	0xFFFF	9	%.1f			steering_wheel_angle	Steering angle	Lenkwinkel			
0xE7,0xF4	0x0A	0	2	0	16	0xFFFF	0A	%.0f			warm_cold	Warm / cold	Textausgabe warm/kalt			
0xE7,0xF4	0x0B	0	2	0	16	0xFFFF	0B	%.2f			lambda_correction	Lambda correction	Lambda-Faktor			
0xE7,0xF4	0x0C	0	2	0	16	0xFFFF	0C	%.1f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x0D	0	2	0	16	0xFFFF	0D	%.1f			distance	Distance	Weg			
0xE7,0xF4	0x0E	0	2	0	16	0xFFFF	0E	%.0f			pressure	Pressure	Druck			
0xE7,0xF4	0x0F	0	2	0	16	0xFFFF	0F	%.1f			injection_time	Injection time	Einspritzzeit			
0xE7,0xF4	0x10	0	2	0	16	0xFFFF	10	%.0f			switch_positions	Switch positions	Schalterstellungen			
0xE7,0xF4	0x11	0	2	0	16	0xFFFF	11	%.0f			two_ascii	2 ASCII-characters	2 ASCII-Zeichen			
0xE7,0xF4	0x12	0	2	0	16	0xFFFF	12	%.0f			pressure_absolute	Absolute pressure	Absolutdruck			
0xE7,0xF4	0x13	0	2	0	16	0xFFFF	13	%.0f			fuel_content	Fuel content	Tankinhalt			
0xE7,0xF4	0x14	0	2	0	16	0xFFFF	14	%.1f			deviation	Deviation in percent	Abweichung in Prozent			
0xE7,0xF4	0x15	0	2	0	16	0xFFFF	15	%.3f			voltage	Voltage	Spannung			
0xE7,0xF4	0x16	0	2	0	16	0xFFFF	16	%.2f			injection_time	Injection time	Einspritzzeit			
0xE7,0xF4	0x17	0	2	0	16	0xFFFF	17	%.0f			dutycycle	Duty cycle	Tastverhältnis			
0xE7,0xF4	0x18	0	2	0	16	0xFFFF	18	%.3f			current	Current	Strom			
0xE7,0xF4	0x19	0	2	0	16	0xFFFF	19	%.1f			mass_flow	Mass flow	Massenstrom			
0xE7,0xF4	0x1A	0	2	0	16	0xFFFF	1A	%.0f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x1B	0	2	0	16	0xFFFF	1B	%.1f			ignition_timing_advance_cyl1	Ignition angle	Zündwinkel			
0xE7,0xF4	0x1C	0	2	0	16	0xFFFF	1C	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x1D	0	2	0	16	0xFFFF	1D	%.0f			kf1_kf2	KF1/KF2	Textausgabe KF1/KF2			
0xE7,0xF4	0x1E	0	2	0	16	0xFFFF	1E	%.1f			knock_correction	Knock correction value	Klopfregeltiefe			
0xE7,0xF4	0x1F	0	2	0	16	0xFFFF	1F	%.2f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x20	0	2	0	16	0xFFFF	20	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x21	0	2	0	16	0xFFFF	21	%.1f			load	Load	Last			
0xE7,0xF4	0x22	0	2	0	16	0xFFFF	22	%.2f			idle_correction	Idle correction value	digitale Leerlaufstabilisierung			
0xE7,0xF4	0x23	0	2	0	16	0xFFFF	23	%.2f			fuel_consumption	Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x24	0	2	0	16	0xFFFF	24	%.0f			mileage	Mileage	Kilometerstand			
0xE7,0xF4	0x25	0	2	0	16	0xFFFF	25	%.0f			text_table	Text from table	Text aus Tabelle			
0xE7,0xF4	0x26	0	2	0	16	0xFFFF	26	%.2f			segment_correction	Segment correction value	Segment-Korrekturwert			
0xE7,0xF4	0x27	0	2	0	16	0xFFFF	27	%.1f			injection_quantity	Injection quantity	Einspritzmenge			
0xE7,0xF4	0x28	0	2	0	16	0xFFFF	28	%.0f			current	Current	Fahrstrom			
0xE7,0xF4	0x29	0	2	0	16	0xFFFF	29	%.0f			capacity	Capacity	Ladung			
0xE7,0xF4	0x2A	0	2	0	16	0xFFFF	2A	%.1f			power	Power	Leistung			
0xE7,0xF4	0x2B	0	2	0	16	0xFFFF	2B	%.1f			ecu_voltage	Battery Voltage	Spannung Fahrbatterie			
0xE7,0xF4	0x2C	0	2	0	16	0xFFFF	2C	%.0f			time	Time	Zeit			
0xE7,0xF4	0x2D	0	2	0	16	0xFFFF	2D	%.1f			fuel_consumption	Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x2E	0	2	0	16	0xFFFF	2E	%.4f			segment_correction	Segment correction value	Segment Korrekturwert			
0xE7,0xF4	0x2F	0	2	0	16	0xFFFF	2F	%.0f			time_correction	Time correction value	Zeit Korrekturwert			
0xE7,0xF4	0x30	0	2	0	16	0xFFFF	30	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x31	0	2	0	16	0xFFFF	31	%.0f			air_mass_per_stroke	Air mass per stroke	Luftmasse pro Hub			
0xE7,0xF4	0x32	0	2	0	16	0xFFFF	32	%.0f			pressure	Pressure	Druck			
0xE7,0xF4	0x33	0	2	0	16	0xFFFF	33	%.2f			injection_quantity	Injection quantity	Einspritzmenge			
0xE7,0xF4	0x34	0	2	0	16	0xFFFF	34	%.0f			torque	Torque	Drehmoment			
0xE7,0xF4	0x35	0	2	0	16	0xFFFF	35	%.2f			mass_flow	Mass flow	Massenstrom			
0xE7,0xF4	0x36	0	2	0	16	0xFFFF	36	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x37	0	2	0	16	0xFFFF	37	%.1f			time	Time	Zeit			
0xE7,0xF4	0x38	0	2	0	16	0xFFFF	38	%.0f			wsc16_0	for WSC16 = 0	für WSC16 = 0			
0xE7,0xF4	0x39	0	2	0	16	0xFFFF	39	%.0f			wsc16_1	for WSC16 = 1	für WSC16 = 1			
0xE7,0xF4	0x3A	0	2	0	16	0xFFFF	3A	%.1f			engine_speed_deviation	Engine speed deviation	Laufunruhe			
0xE7,0xF4	0x3B	0	2	0	16	0xFFFF	3B	%.5f			segment_correction	Segment correction value	Segmentkorrektur			
0xE7,0xF4	0x3C	0	2	0	16	0xFFFF	3C	%.2f			time_quantisation	Time quantization	Zeitquantisierung			
0xE7,0xF4	0x3D	0	2	0	16	0xFFFF	3D	%.3f			difference	Difference	Differenz			
0xE7,0xF4	0x3E	0	2	0	16	0xFFFF	3E	%.0f			time	Time	Zeit			
0xE7,0xF4	0x3F	0	2	0	16	0xFFFF	3F	%.0f			ascii_longtext	ASCII-Longtext	ASCII-Langtext			
0xE7,0xF4	0x40	0	2	0	16	0xFFFF	40	%.0f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x41	0	2	0	16	0xFFFF	41	%.0f			distance	Distance	Weg			
0xE7,0xF4	0x42	0	2	0	16	0xFFFF	42	%.2f			voltage	Voltage	Spannung			
0xE7,0xF4	0x43	0	2	0	16	0xFFFF	43	%.1f			steering_wheel_angle	steering angle	Lenkwinkel			
0xE7,0xF4	0x44	0	2	0	16	0xFFFF	44	%.3f			velocity	Velocity	Drehrate			
0xE7,0xF4	0x45	0	2	0	16	0xFFFF	45	%.3f			pressure	Pressure	Druck			
0xE7,0xF4	0x46	0	2	0	16	0xFFFF	46	%.2f			cross_acceleration	Cross acceleration	Querbeschleunigung			
0xE7,0xF4	0x47	0	2	0	16	0xFFFF	47	%.0f			distance	Distance	Abstand			
0xE7,0xF4	0x48	0	2	0	16	0xFFFF	48	%.2f			voltage	Voltage decimal	Spannung dezimal			
0xE7,0xF4	0x49	0	2	0	16	0xFFFF	49	%.3f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x4A	0	2	0	16	0xFFFF	4A	%.0f			time	Time	Zeit			
0xE7,0xF4	0x4B	0	2	0	16	0xFFFF	4B	%.0f			fault_code	Fault code	Fehlercode			
0xE7,0xF4	0x4C	0	2	0	16	0xFFFF	4C	%.0f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x4D	0	2	0	16	0xFFFF	4D	%.2f			voltage	Voltage	Spannung			
0xE7,0xF4	0x4E	0	2	0	16	0xFFFF	4E	%.1f			engine_speed_deviation	Engine speed deviation	Laufunruhe			
0xE7,0xF4	0x4F	0	2	0	16	0xFFFF	4F	%.0f			channel_number	Channel number	Anzeige einer Kanalnummer			
0xE7,0xF4	0x50	0	2	0	16	0xFFFF	50	%.2f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x51	0	2	0	16	0xFFFF	51	%.2f			steering_wheel_angle	Steering angle	Lenkwinkel			
0xE7,0xF4	0x52	0	2	0	16	0xFFFF	52	%.2f			cross_acceleration	Cross acceleration	Querbeschleunigung			
0xE7,0xF4	0x53	0	2	0	16	0xFFFF	53	%.2f			pressure	Pressure	Druck			
0xE7,0xF4	0x54	0	2	0	16	0xFFFF	54	%.3f			acceleration_longitudinal	Longitudinal acceleration	Längsbeschleunigung			
0xE7,0xF4	0x55	0	2	0	16	0xFFFF	55	%.2f			velocity	Velocity	Drehrate			
0xE7,0xF4	0x56	0	2	0	16	0xFFFF	56	%.1f			current	Current	Strom			
0xE7,0xF4	0x57	0	2	0	16	0xFFFF	57	%.1f			velocity	Velocity	Drehrate			
0xE7,0xF4	0x58	0	2	0	16	0xFFFF	58	%.2f			resistance	Resistance	Widerstand			
0xE7,0xF4	0x59	0	2	0	16	0xFFFF	59	%.0f			switch_on_time	Switch ON time	Einschaltdauer			
0xE7,0xF4	0x5A	0	2	0	16	0xFFFF	5A	%.1f			mass	Mass	Masse			
0xE7,0xF4	0x5B	0	2	0	16	0xFFFF	5B	%.1f			steering_wheel_angle	steering angle	Lenkwinkel			
0xE7,0xF4	0x5C	0	2	0	16	0xFFFF	5C	%.0f			mileage	Mileage	Kilometerstand			
0xE7,0xF4	0x5D	0	2	0	16	0xFFFF	5D	%.3f			torque	Torque	Drehmoment			
0xE7,0xF4	0x5E	0	2	0	16	0xFFFF	5E	%.1f			torque	Torque	Drehmoment			
0xE7,0xF4	0x5F	0	2	0	16	0xFFFF	5F	%.0f			ascii_longtext	ASCII-long text	ASCII-Langtext			
0xE7,0xF4	0x60	0	2	0	16	0xFFFF	60	%.1f			pressure	Pressure	Druck			
0xE7,0xF4	0x61	0	2	0	16	0xFFFF	61	%.0f			cat_temperature	Converter temperature	Kat-Temperatur			
0xE7,0xF4	0x62	0	2	0	16	0xFFFF	62	%.1f			k_number	K-Number	K-Zahl			
0xE7,0xF4	0x63	0	2	0	16	0xFFFF	63	%.0f			decimal	Decimal value	Dezimalwert			
0xE7,0xF4	0x64	0	2	0	16	0xFFFF	64	%.1f			pressure	Pressure	Druck			
0xE7,0xF4	0x65	0	2	0	16	0xFFFF	65	%.3f			fuel_level_factor	Fuel level factor	Befüllungskennlinie			
0xE7,0xF4	0x66	0	2	0	16	0xFFFF	66	%.1f			fuel_level	Fuel level	Füllstand			
0xE7,0xF4	0x67	0	2	0	16	0xFFFF	67	%.2f			voltage	Voltage	Spannung			
0xE7,0xF4	0x68	0	2	0	16	0xFFFF	68	%.0f			volume	Volume	Milliliter			
0xE7,0xF4	0x69	0	2	0	16	0xFFFF	69	%.2f			distance	Distance	Abstand in Meter			
0xE7,0xF4	0x6A	0	2	0	16	0xFFFF	6A	%.1f			speed	Speed	Geschwindigkeit			
0xE7,0xF4	0x6B	0	2	0	16	0xFFFF	6B	%.0f			hex	HEX value	Hexadezimalwert			
0xE7,0xF4	0x70	0	2	0	16	0xFFFF	70	%.3f			angle	Angle	Winkel			
0xE7,0xF4	0x71	0	2	0	16	0xFFFF	71	%.2f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x72	0	2	0	16	0xFFFF	72	%.0f			altitude	Altitude	Höhe über NN			
0xE7,0xF4	0x73	0	2	0	16	0xFFFF	73	%.0f			power	Power	Leistung			
0xE7,0xF4	0x74	0	2	0	16	0xFFFF	74	%.0f			engine_speed	Engine speed	Drehzahl			
0xE7,0xF4	0x75	0	2	0	16	0xFFFF	75	%.2f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x77	0	2	0	16	0xFFFF	77	%.2f			acc_amplitude	ACC-Amplitude	ACC-Amplitudenwert			
0xE7,0xF4	0x78	0	2	0	16	0xFFFF	78	%.0f			direction_compass	Compass direction	Kompaß-Richtungsanzeige			
0xE7,0xF4	0x79	0	2	0	16	0xFFFF	79	%.1f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x7A	0	2	0	16	0xFFFF	7A	%.2f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x7B	0	2	0	16	0xFFFF	7B	%.0f			text_table	Text from table	Text aus Tabelle			
0xE7,0xF4	0x7C	0	2	0	16	0xFFFF	7C	%.1f			current	Current	Strom			
0xE7,0xF4	0x80	0	1	0	8	0xFF	80	%.0f			engine_speed	Engine speed	Drehzahl			
0xE7,0xF4	0x81	0	1	0	8	0xFF	81	%.0f			load	Load	Last			
0xE7,0xF4	0x82	0	1	0	8	0xFF	82	%.3f			current	Current	Strom			
0xE7,0xF4	0x83	0	1	0	8	0xFF	83	%.1f			ignition_timing_advance_cyl1	Ignition angle	Zündwinkel			
0xE7,0xF4	0x84	0	1	0	8	0xFF	84	%.1f			throttle_position	Throttle plate angle	Drosselklappenwinkel			
0xE7,0xF4	0x85	0	1	0	8	0xFF	85	%.2f			voltage	Voltage	Spannung			
0xE7,0xF4	0x86	0	1	0	8	0xFF	86	%.0f			vehicle_speed	Vehicle speed	Geschwindigkeit			
0xE7,0xF4	0x87	0	1	0	8	0xFF	87	%.0f			no_units	w/o units	ohne Einheit			
0xE7,0xF4	0x88	0	1	0	8	0xFF	88	%.0f			switch_positions	Switch positions	Schalterstellungen			
0xE7,0xF4	0x89	0	1	0	8	0xFF	89	%.2f			injection_time	Injection time	Einspritzzeit			
0xE7,0xF4	0x8A	0	1	0	8	0xFF	8A	%.3f			knock_sensor_voltage	Knock sensor voltage	Klopfsensorspannung			
0xE7,0xF4	0x8B	0	1	0	8	0xFF	8B	%.0f			engine_speed	Engine speed	Drehzahl			
0xE7,0xF4	0x8C	0	1	0	8	0xFF	8C	%.0f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x8D	0	1	0	8	0xFF	8D	%.0f			ascii_longtext	ASCII text	ASCII-Langtext			
0xE7,0xF4	0x8E	0	1	0	8	0xFF	8E	%.0f			two_ascii	2 ASCII characters	2 ASCII-Zeichen			
0xE7,0xF4	0x8F	0	1	0	8	0xFF	8F	%.1f			ignition_timing_advance_cyl1	Ignition angle	Zündwinkel			
0xE7,0xF4	0x90	0	1	0	8	0xFF	90	%.2f			fuel_consumption	Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x91	0	1	0	8	0xFF	91	%.2f			fuel_consumption	Fuel consumption	Kraftstoffverbrauch			
0xE7,0xF4	0x92	0	1	0	8	0xFF	92	%.2f			lambda	Lambda factor	Lambda-Faktor			
0xE7,0xF4	0x93	0	1	0	8	0xFF	93	%.0f			gradient	Gradient	Steigung am Berg			
0xE7,0xF4	0x94	0	1	0	8	0xFF	94	%.0f			slippage_speed	Slippage speed	Schlupfdrehzahl			
0xE7,0xF4	0x95	0	1	0	8	0xFF	95	%.1f			temperature	Temperature	Temperatur			
0xE7,0xF4	0x96	0	1	0	8	0xFF	96	%.1f			mass_flow	Mass flow	Massenstrom			
0xE7,0xF4	0x97	0	1	0	8	0xFF	97	%.2f			idle_correction	Idle correction value	digitale Leerlaufstabilisierung			
0xE7,0xF4	0x98	0	1	0	8	0xFF	98	%.0f			air_mass_per_stroke	Air mass per stroke	Luftmasse pro Hub			
0xE7,0xF4	0x99	0	1	0	8	0xFF	99	%.2f			injection_quantity	Injection quantity	Einspritzmenge			
